Designator,Footprint,Quantity,Value,LCSC Part #
3V3,Pin_D1.3mm_L11.0mm,1,3V3,
BT1,Battery_holder,1,Battery_Holder,
"C1, C10, C4",C_Radial_D5.0mm_H11.0mm_P2.00mm_liegend,3,1u,
C11,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,4n7,DNP
"C12, C2, C3, C5, C6",C_Disc_D3.0mm_W2.0mm_P2.50mm,5,100n,
D1,LED_D3.0mm,1,LED,
"D2, D3",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
"D4, D5",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
D6,LED-3Pin,1,Zweifarb-LED,
GND1,Pin_D1.3mm_L11.0mm,1,GND,
J1,USB_C_and_Oled,1,Conn_02x04_Top_Bottom,
J2,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J3,Encoder KY-040,1,Conn_01x05_Socket,
J4,USB_B_Micro_CN,1,USB_B_Micro,DNP
J5,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J6, J7",PinHeader_1x09_P1.27mm_Vertical,2,Conn_01x09_Pin,
"R1, R11, R15, R16",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,300R,
"R10, R7, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,22R,
"R12, R13, R14",0805,3,10k,DNP
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100R,
"R4, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,10k,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1M,DNP
"SW1, SW3, SW4",SW_PUSH_6mm_H7.3mm,3,SW_Push,
SW2,SW_PUSH_6mm_H4.3mm,1,SW_Push,
SW5,SW_PUSH_6mm_H4.3mm,1,Boot,
SW6,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
SW7,Drahtschalter,1,SW_DIP_x01,
TP1,Pin_D1.0mm_L10.0mm,1,Bat+,
TP2,Pin_D1.0mm_L10.0mm,1,Bat-,
U1,ESP32_C3_Wroom_02-easysolder,1,ESP32-C3-WROOM-02,
U4,SOT-23-5,1,AP2112K-3.3,
