Designator,Mid X,Mid Y,Rotation,Layer
3V3_2,67.4994,91.8524,180.0,top
3V3,29.0694,91.8524,180.0,top
BT1,22.5602,27.14,90.0,bottom
C1_2,51.804001,50.760002,270.0,top
C1,13.374001,50.760002,270.0,top
C10_2,72.7064,18.5226,0.0,top
C10,34.2764,18.5226,0.0,top
C11_2,43.1408,98.55,270.0,top
C11,4.7108,98.55,270.0,top
C12_2,69.76,31.85,0.0,top
C12,31.33,31.85,0.0,top
C2_2,54.344001,51.100001,270.0,top
C2,15.914001,51.100001,270.0,top
C3_2,60.354001,48.52,90.0,top
C3,21.924001,48.52,90.0,top
C4_2,62.902,48.960001,90.0,top
C4,24.472,48.960001,90.0,top
C5_2,63.43,86.62,0.0,top
C5,25.0,86.62,0.0,top
C6_2,59.7886,22.2234,0.0,top
C6,21.3586,22.2234,0.0,top
D1_2,61.124,64.788,0.0,top
D1,22.694,64.788,0.0,top
D2_2,58.838,68.586,0.0,top
D2,20.408,68.586,0.0,top
D3_2,55.79,68.586,180.0,top
D3,17.36,68.586,180.0,top
D4_2,40.7024,17.4812,270.0,top
D4,2.2724,17.4812,270.0,top
D5_2,54.1136,32.1116,270.0,top
D5,15.6836,32.1116,270.0,top
D6_2,52.6912,64.9284,0.0,top
D6,14.2612,64.9284,0.0,top
FID1_2,51.218,96.907,0.0,top
FID1,12.788,96.907,0.0,top
FID2_2,73.52,2.9,0.0,top
FID2,35.09,2.9,0.0,top
FID3_2,41.32,2.9,0.0,top
FID3,2.89,2.9,0.0,top
GND1_2,67.2962,97.796,0.0,top
GND1,28.8662,97.796,0.0,top
J1_2,60.997,89.6026,180.0,top
J1,22.567,89.6026,180.0,top
J2_2,74.3066,97.7452,0.0,top
J2,35.8766,97.7452,0.0,top
J3_2,57.41,77.21,180.0,top
J3,18.98,77.21,180.0,top
J4_2,45.092,79.4275,270.0,top
J4,6.662,79.4275,270.0,top
J5_2,40.1944,32.0862,90.0,top
J5,1.7644,32.0862,90.0,top
J6_2,45.1728,18.792,0.0,top
J6,6.7428,18.792,0.0,top
J7_2,69.3028,8.642,180.0,top
J7,30.8728,8.642,180.0,top
R1_2,65.0356,35.1596,90.0,top
R1,26.6056,35.1596,90.0,top
R10_2,49.7956,45.3196,270.0,top
R10,11.3656,45.3196,270.0,top
R11_2,52.8436,35.1596,90.0,top
R11,14.4136,35.1596,90.0,top
R12_2,63.0036,9.912,180.0,bottom
R12,24.5736,9.912,180.0,bottom
R13_2,73.57,79.508,90.0,bottom
R13,35.14,79.508,90.0,bottom
R14_2,63.0036,11.8932,180.0,bottom
R14,24.5736,11.8932,180.0,bottom
R15_2,43.6996,45.3196,270.0,top
R15,5.2696,45.3196,270.0,top
R16_2,40.6516,45.3196,270.0,top
R16,2.2216,45.3196,270.0,top
R2_2,61.9876,35.1596,90.0,top
R2,23.5576,35.1596,90.0,top
R3_2,58.9396,35.1596,90.0,top
R3,20.5096,35.1596,90.0,top
R4_2,68.0836,35.1596,90.0,top
R4,29.6536,35.1596,90.0,top
R5_2,57.197801,25.3476,0.0,top
R5,18.767801,25.3476,0.0,top
R6_2,55.8916,35.1596,90.0,top
R6,17.4616,35.1596,90.0,top
R7_2,67.35,28.41,180.0,top
R7,28.92,28.41,180.0,top
R8_2,40.14,88.480001,90.0,top
R8,1.71,88.480001,90.0,top
R9_2,46.7476,45.3196,270.0,top
R9,8.3176,45.3196,270.0,top
SW1_2,59.691,60.914,270.0,top
SW1,21.261,60.914,270.0,top
SW2_2,40.39,21.91,90.0,top
SW2,1.96,21.91,90.0,top
SW3_2,45.92,54.5,90.0,top
SW3,7.49,54.5,90.0,top
SW4_2,68.962,60.914,270.0,top
SW4,30.532,60.914,270.0,top
SW5_2,74.51,28.7509,270.0,top
SW5,36.08,28.7509,270.0,top
SW6_2,64.818,74.71,180.0,top
SW6,26.388,74.71,180.0,top
SW7_2,45.376,26.4728,90.0,top
SW7,6.946,26.4728,90.0,top
TP1_2,69.252,69.588,0.0,top
TP1,30.822,69.588,0.0,top
TP2_2,69.252,66.554,0.0,top
TP2,30.822,66.554,0.0,top
U1_2,57.27,-4.0892,180.0,top
U1,18.84,-4.0892,180.0,top
U4_2,57.315601,49.660901,270.0,top
U4,18.885601,49.660901,270.0,top
